2025-12-13 23:51:41.768 | INFO     | src.simulation.casino:steal_from_player:168 - FAILURE - Goose Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба didn't steel anything from Олег.
2025-12-13 23:51:41.769 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (54) from balance of Олег. Current balance: 82
2025-12-13 23:51:41.769 | INFO     | src.simulation.casino:bet:204 - [LOSE] Player Олег lost 54
2025-12-13 23:51:41.769 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 41
2025-12-13 23:51:41.769 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (41) from balance of Олег. Current balance: 41
2025-12-13 23:51:41.770 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=26
2025-12-13 23:51:41.770 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.770 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (41) from balance of Олег. Current balance: 0
2025-12-13 23:51:41.770 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (130) from balance of Кира. Current balance: 9219
2025-12-13 23:51:41.771 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(171) to balance of Боба (Goose)
2025-12-13 23:51:41.771 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 171 from each player
2025-12-13 23:51:41.771 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Боба-Буба-Буба-Буба trying to steal 7 from player Кира
2025-12-13 23:51:41.771 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (7) from balance of Кира. Current balance: 9212
2025-12-13 23:51:41.772 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(7) to balance of Боба-Буба-Буба-Буба (Goose)
2025-12-13 23:51:41.772 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Боба-Буба-Буба-Буба stole 7 from Кира.
2025-12-13 23:51:41.773 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=28
2025-12-13 23:51:41.773 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.773 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (140) from balance of Кира. Current balance: 9072
2025-12-13 23:51:41.773 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(140) to balance of Боба (Goose)
2025-12-13 23:51:41.774 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 140 from each player
2025-12-13 23:51:41.774 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Буба-Биба trying to steal 0 from player Олег
2025-12-13 23:51:41.774 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Буба-Биба stole 0 from Олег.
2025-12-13 23:51:41.775 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Буба-Боба-Буба trying to steal 0 from player Олег
2025-12-13 23:51:41.775 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Буба-Боба-Буба stole 0 from Олег.
2025-12-13 23:51:41.775 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Боба-Буба-Буба-Боба-Буба-Буба trying to steal 25 from player Кира
2025-12-13 23:51:41.775 | INFO     | src.simulation.casino:steal_from_player:168 - FAILURE - Goose Боба-Буба-Буба-Боба-Буба-Буба didn't steel anything from Кира.
2025-12-13 23:51:41.776 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=31
2025-12-13 23:51:41.776 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.776 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (155) from balance of Кира. Current balance: 8917
2025-12-13 23:51:41.776 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(155) to balance of Боба (Goose)
2025-12-13 23:51:41.776 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 155 from each player
2025-12-13 23:51:41.777 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Боба-Буба-Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба (hp=1050), honk_volume=62
2025-12-13 23:51:41.777 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Боба-Буба-Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба
2025-12-13 23:51:41.777 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (2313) from balance of Кира. Current balance: 6604
2025-12-13 23:51:41.777 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(231300) to balance of Кира
2025-12-13 23:51:41.777 | INFO     | src.simulation.casino:bet:194 - [JACKPOT] Player Кира got Jackpot and won 231300
2025-12-13 23:51:41.778 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Олег for 9 damage
2025-12-13 23:51:41.778 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба trying to steal 0 from player Олег
2025-12-13 23:51:41.778 | INFO     | src.simulation.casino:steal_from_player:165 - SUCCESS - Goose Боба-Буба-Буба-Буба-Боба-Буба-Буба-Боба-Буба stole 0 from Олег.
2025-12-13 23:51:41.778 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 0
2025-12-13 23:51:41.778 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (0) from balance of Олег. Current balance: 0
2025-12-13 23:51:41.779 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Кира for 15 damage
2025-12-13 23:51:41.779 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (15) from balance of Кира. Current balance: 237889
2025-12-13 23:51:41.779 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(15) to balance of Биба (Goose)
2025-12-13 23:51:41.779 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (59832) from balance of Кира. Current balance: 178057
2025-12-13 23:51:41.780 | INFO     | src.simulation.casino:bet:204 - [LOSE] Player Кира lost 59832
2025-12-13 23:51:41.780 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Макс lost half of his money: 0
2025-12-13 23:51:41.780 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (0) from balance of Макс. Current balance: 0
2025-12-13 23:51:41.780 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=34
